id,project_id,document_spot,the_data,section_reference,question_number,section_order,type
38476602,526963,1oo_summary_primroof2,,1,48,63,PcaReportDataItem
38476462,526963,321p_cost_table_type,,3.2.1,17,1,PcaReportDataItem
38476526,526963,53m_cost_action_item,,5.3,51,22,PcaReportDataItem
38476505,526963,443_cost_table_type,,4.4.3,43,17,PcaReportDataItem
38476472,526963,326p_cost_table_type,,3.2.6,5,6,PcaReportDataItem
38476492,526963,43p_cost_table_type,,4.3.1,11,14,PcaReportDataItem
38476531,526963,elevator_type_541_rep,,5.4.1,29,23,PcaReportDataItem
38476585,526963,2f_summary_net_rentable_comment,,1,34,63,PcaReportDataItem
38476588,526963,2g_summary_tenant_spaces_comment,,1,36,63,PcaReportDataItem
38476586,526963,1z_summary_guestrooms,,1,35,63,PcaReportDataItem
40166017,526963,321e_municipality_system,yes,3.2.1,11,1,PcaReportDataItem
40166690,526963,pca_reserve_yn_1a,no,3.2.1,1,1,PcaReportDataItem
40187189,526963,93x_required,yes,9.3,5,58,PcaReportDataItem
40187094,526963,61a_common,no,6.1,1,36,PcaReportDataItem
40184392,526963,52c_pu_elec_manu,Carrier,5.2,152,21,PcaReportDataItem
40178113,526963,324c_irrigation,yes,3.2.4,5,4,PcaReportDataItem
40167508,526963,322m_pkg_os,no,3.2.2,19,2,PcaReportDataItem
40184558,526963,52d_pu_tr,no,5.2,3,21,PcaReportDataItem
40180742,526963,329bd_bt_survcond,Good,3.2.9,5,9,PcaReportDataItem
40187149,526963,7d1_suff_entrance,yes,7,15,99,PcaReportDataItem
40187190,526963,93a_wind_zone,Zone II,9.3,6,58,PcaReportDataItem
40185363,526963,53_unit_individually_metered,none,5.3,20,22,PcaReportDataItem
40133214,526963,21c_field_assessor,Brian ,2.1,3,59,PcaReportDataItem
40186894,526963,551_1b_pca,no,5.5.1,3,32,PcaReportDataItem
40187096,526963,62a_amen,no,6.2,1,37,PcaReportDataItem
40186937,526963,551_1d_pca,no,5.5.1,5,32,PcaReportDataItem
40180680,526963,328d_ext_light_controls,"[""Timers"", ""Photocells""]",3.2.8,4,8,PcaReportDataItem
40187082,526963,553b_othrsysdesc,Emergency lighting was typically provided by wall- and ceiling-mounted battery-operated fixtures.,5.5.3,3,32,PcaReportDataItem
40187127,526963,7b4_access_aisle,yes,7,5,99,PcaReportDataItem
40180751,526963,329_sportcourts_a,none,3.2.9,49,9,PcaReportDataItem
40185367,526963,53j_wiringevd,"[""Observation""]",5.3,28,22,PcaReportDataItem
40169414,526963,322p_add_pave_types,yes,3.2.2,1,2,PcaReportDataItem
40184466,526963,52c_pu_conddesc,"The package units had indicators of ware. As per discussion with the maintenance/contractor, a recommendation for replacement will be issued.  Additionally based on the subject's general location to the ocean, acceleration of exposure to the elements has reduced the units EUL. Replacement of the HVAC package units is recommended. An opinion of cost for this work is included in Table 1.",5.2,2,21,PcaReportDataItem
40182988,526963,51bc_whtr,yes,5.1,25,20,PcaReportDataItem
40187130,526963,7b5_level_and_obstruct,yes,7,7,99,PcaReportDataItem
40140912,526963,24h_document_review7,Back Flow test report dated September 2022.,2.4,7,62,PcaReportDataItem
40187118,526963,7a1_ada_survey,no,7,1,99,PcaReportDataItem
40180826,526963,3211g,City of Oxnard,3.2.11,7,11,PcaReportDataItem
40187121,526963,7a3_ada_complaints,no,7,5,99,PcaReportDataItem
40131073,526963,1z_add_build_sum,no,1.0,1,63,PcaReportDataItem
40186941,526963,551_hydrant_survcond,Good,5.5.1,43,32,PcaReportDataItem
40182987,526963,51ba_whcond,Good,5.1,23,20,PcaReportDataItem
40181336,526963,42_1b_pca,no,4.2,1,13,PcaReportDataItem
40138956,526963,24g_document_review6,"Rent roll, dated April 2023",2.4,6,62,PcaReportDataItem
40130745,526963,01r_reviewer_first_name,Chris ,1,16,63,PcaReportDataItem
40133224,526963,21c2_field_assessor_last_name,Frawley,2.1,4,59,PcaReportDataItem
40169419,526963,322a2_pave_cond,Good,3.2.2,2,2,PcaReportDataItem
40182615,526963,51a_domrep,"[""Copper""]",5.1,2,20,PcaReportDataItem
40138954,526963,24e_document_review4,Federal Emergency Management Agency (FEMA) flood hazard layer map,2.4,4,62,PcaReportDataItem
40187116,526963,7a_ada_access_indust,no,7,22,99,PcaReportDataItem
40182841,526963,piping_information_source,"[""Site escort""]",5.1,15,20,PcaReportDataItem
40180715,526963,329a_site_amen,yes,3.2.9,1,9,PcaReportDataItem
40187099,526963,65a,no,6.5,1,99,PcaReportDataItem
40186935,526963,pca_reserve_yn_57a,no,5.5.1,99,32,PcaReportDataItem
40186893,526963,551i_fireext,yes,5.5.1,33,32,PcaReportDataItem
40144287,526963,321b_slope_direction,Southwest,3.2.1,3,1,PcaReportDataItem
40184402,526963,52e_pu_elec_loc,"[""On roof""]",5.2,155,21,PcaReportDataItem
40187159,526963,7z_ada_compliant,No readily apparent barriers were observed at the time of the assessment.,7,99,99,PcaReportDataItem
40187125,526963,7b2_access_entrance,yes,7,3,99,PcaReportDataItem
40178114,526963,324p_irrigation_cond,no,3.2.4,7,4,PcaReportDataItem
40135255,526963,21e_company,Tenant (Operations Director),2.2,4,60,PcaReportDataItem
40169607,526963,322y_curbing_survcond,Good,3.2.2,28,2,PcaReportDataItem
40184389,526963,52a_packaged_unit_heat_source,"[""Electric resistance coils""]",5.2,150,21,PcaReportDataItem
40169816,526963,324a_landscaping,yes,3.2.4,1,4,PcaReportDataItem
40187077,526963,552a_smokedet,no,5.5.2,47,32,PcaReportDataItem
40179734,526963,327g_def_desc,The gates paint was peeling. Repainting the gates can be done during the structures exterior paint procedure.,3.2.7,5,7,PcaReportDataItem
40180778,526963,3211b,The building meter was located in the main electrical room internally at the south elevation,3.2.11,2,11,PcaReportDataItem
40182832,526963,51d_wstobs,"[""Cast iron""]",5.1,3,20,PcaReportDataItem
40181050,526963,41b_const,"[""Conventional spread footing system with slab-on-grade""]",4.1,7,12,PcaReportDataItem
40180833,526963,pca_reserve_yn_11a,no,1.0,10,63,PcaReportDataItem
40180755,526963,pca_reserve_yn_9a,none,1.0,8,63,PcaReportDataItem
40186919,526963,pca_reserve_yn_56a,no,1.0,10,63,PcaReportDataItem
40182420,526963,431c_soffit,"[""Other"", ""painted concrete entrance""]",4.3.1,4,14,PcaReportDataItem
40180745,526963,329da_garage,none,3.2.9,13,9,PcaReportDataItem
40135237,526963,21d_field_escort_fn,Tyler,2.2,2,60,PcaReportDataItem
40187123,526963,7b1_parking_req,yes,7,1,99,PcaReportDataItem
40184394,526963,52d_pu_elec_cap,5 tons,5.2,153,21,PcaReportDataItem
40185851,526963,551a_fsupp,yes,5.5.1,1,32,PcaReportDataItem
40141754,526963,31d_additional,"The parcel of land was located in an industrial area, north (200') of the southern intersection of Stellar Drive and Westar Drive.",3.1,4,0,PcaReportDataItem
40131107,526963,1a_plan_cap_impr_pca,no,1.0,99,63,PcaReportDataItem
40167560,526963,322o_pavement_type,"[""Asphalt""]",3.2.2,22,2,PcaReportDataItem
40138972,526963,24m_document_review12,"PCA Pre-Survey Questionnaire, prepared by Meca Cephas",2.4,12,62,PcaReportDataItem
40184419,526963,52b_pu_cond,Poor,5.2,1,21,PcaReportDataItem
40186930,526963,where_is_the_chemical_tank_551,IT room grade level,5.5.1,41,32,PcaReportDataItem
40180692,526963,pca_reserve_yn_8a,no,1.0,7,63,PcaReportDataItem
40185374,526963,53n_emgen,no,5.3,45,22,PcaReportDataItem
40184410,526963,52r_vent_type,"[""Bathroom fans"", ""Common fans that vent through roof""]",5.2,177,21,PcaReportDataItem
40187107,526963,commercial_tenants_64,"[""Single Tenant""]",6.4,8,39,PcaReportDataItem
40138971,526963,24l_document_review11,Final Inspection Report April 1998.,2.4,11,62,PcaReportDataItem
40180829,526963,3211h,City of Oxnard,3.2.11,8,11,PcaReportDataItem
40184559,526963,pca_reserve_yn_25a,no,1.0,23,63,PcaReportDataItem
40187053,526963,552aa_alrmcond,Good to Poor,5.5.2,58,32,PcaReportDataItem
40179613,526963,327b_type,"[""Other"", ""refuse enclosures""]",3.2.7,2,7,PcaReportDataItem
40179607,526963,327a,yes,3.2.7,1,7,PcaReportDataItem
40185369,526963,53k_wiring,"[""Copper""]",5.3,27,22,PcaReportDataItem
40185868,526963,551b_fsuppserv,The riser was located in the warehouse's southeast corner.,5.5.1,3,32,PcaReportDataItem
40187157,526963,7d7_height_comp,yes,7,27,99,PcaReportDataItem
40186917,526963,551p_fire_ex_cond,Good,5.5.1,36,32,PcaReportDataItem
40187015,526963,552_fire_alarm_type,Central fire alarm with local notification,5.5.2,80,32,PcaReportDataItem
40184391,526963,52b_pu_elec_quant,Multiple,5.2,151,21,PcaReportDataItem
40259647,526963,441bp_skylights,"[""Conventional domed translucent Plexiglass""]",4.4.1,5,17,PcaReportDataItem
40263476,526963,pca_reserve_yn_20a,no,1.0,18,63,PcaReportDataItem
40226777,526963,pca_reserve_yn_15a,no,1.0,13,63,PcaReportDataItem
40217028,526963,64c_floor,"[""Carpet"", ""Wood"", ""Sealed Polished Concrete""]",6.4,2,39,PcaReportDataItem
40230793,526963,451_1f_pca,no,4.5,1,19,PcaReportDataItem
40217221,526963,64aa_cond,Good to Poor,6.4,5,39,PcaReportDataItem
40259634,526963,441d_parapet_desc,"The parapet roof joint corners were aged and cracked, with some roofing material coming apart at the joint seams between panels.",4.4.1,4,17,PcaReportDataItem
40230243,526963,describe_door_issues_in_complete_sentences_43,"The ramp access location was reported to have water intrusion issues at the bottom base of the door. The doors at the north and south corners have storm water grates at the entrance points. The channels were observed to be littered with debris, had vegetative growth and sections of the metal grates were missing. This is believed to be the contributing factor for the water intrusion. Clearing the channels of the debris, vegetative growth, pressure jet cleaning the outlets and replacing the missing grates is recommended. An opinion of cost for this work is included in Table 1.",4.3.3,34,15,PcaReportDataItem
40218927,526963,8b_microbial_water_desc,"however, as discussed in the above sections of this report, water damaged was observed Section 6.4 Commercial Tenant Spaces and section 4.3 Facades and Curtain Walls, water intrusion along east and south elevation walls. See the above referenced sections of this report for further discussion and recommended repairs.",8.0,7,54,PcaReportDataItem
40218832,526963,pca_reserve_yn_39a,no,1.0,37,63,PcaReportDataItem
40263418,526963,443_roof_mounted_equipment_condition,Good to Poor,4.4.3,41,17,PcaReportDataItem
40230811,526963,45c_intstr,"[""Wooden construction""]",4.5,4,19,PcaReportDataItem
40231563,526963,45d_intstrfin,"[""Carpet"", ""Wooden Plank""]",4.5,5,19,PcaReportDataItem
40250520,526963,51ac_conddesc,"There was a broken discharge pipe at the south elevation of the structure. It is recommended that the broken pipe be repaired. 
There was a safety cage at the water supply anti-syphoning east elevation location that was broken and is disconnected from the base. Repair or replacement of the safety cage is recommended. An opinion of cost for this work is included in Table 1.",5.1,19,20,PcaReportDataItem
40262962,526963,442b_draindest,"[""Grade and Storm Drain System""]",4.4.2,31,17,PcaReportDataItem
40261913,526963,441_identify_party_who,AMS Construction,4.4.1,14,17,PcaReportDataItem
38476708,526963,23d_building_code_violations,No Violations,2.3,4,61,PcaReportDataItem
38476616,526963,1v_summary_fire_prot,"Wet-pipe sprinkler system, fire extinguishers, chemical fire suppression system",1,63,63,PcaReportDataItem
38476609,526963,1z_summary_hvac,Package,1,55,63,PcaReportDataItem
38476598,526963,1m_summary_primfac,Painted concrete tilt-up wall panels,1,45,63,PcaReportDataItem
38476651,526963,01s_reviewer_last_name,Link,1,17,63,PcaReportDataItem
38476606,526963,1y_summary_total_parking,55,1,52,63,PcaReportDataItem
38476590,526963,1h_summary_const,Concrete slab-on-grade over spread footings,1,39,63,PcaReportDataItem
38476608,526963,1y_summary_van_parking,two,1,54,63,PcaReportDataItem
38476595,526963,1k_summary_roof_frame,Wood beams with plywood platform,1,43,63,PcaReportDataItem
38476592,526963,1j_summary_vert_cons,"Concrete tilt-wall panels at perimeters, interior steel pier supports",1,41,63,PcaReportDataItem
40133225,526963,21g_limiting_cond,no,2.1,4,59,PcaReportDataItem
40182952,526963,51f_whdetail,Observed water heater was manufactured by Rheem and had a capacity of approximately 25-gallons. The units age was unknown.,5.1,22,20,PcaReportDataItem
40135286,526963,23e_building_code_findings,Inspections are completed during the construction process. Additional inspections are not performed.,2.3,6,61,PcaReportDataItem
40176878,526963,324g_def_desc,"Based on the CC&R's and discussions with the management company, all ""common"" landscape areas are expensed through the HOA fees. All landscape areas within the subject's general area is ownership responsibility. Based on this,  barren turf was observed throughout the site typical of conditions noted to the south elevation of the structure. Refurbishment of the turf is recommended.
Trees, shrubs and Ivy (growing on the walls) were observed impeding on the building rooftop and façade at points along the north, south and east walls . No portion of any vegetation should be in contact with the building exterior. It is recommended that the trees and shrubs  be trimmed back and the ivy removed. An opinion of cost for this work is included in Table 1.
General cleaning and routine maintenance, including as-needed replacement of vegetation, is anticipated throughout the evaluation period.",3.2.4,4,4,PcaReportDataItem
40135273,526963,22d_additional_interviewed,no,2.2,9,60,PcaReportDataItem
40179596,526963,326c_survcond,Good,3.2.6,3,6,PcaReportDataItem
40167526,526963,322h_ada,4,3.2.2,14,2,PcaReportDataItem
40144272,526963,321a_slope_sev,Flat,3.2.1,2,1,PcaReportDataItem
40169691,526963,323r_unit_patios_agency,none,3.2.3,8,3,PcaReportDataItem
38476706,526963,23b_building_code_contact,"Dee Lai, Assistant City Clerk",2.3,2,61,PcaReportDataItem
38476720,526963,23d_zoning_violations,No Violations,2.3,16,61,PcaReportDataItem
40179579,526963,326a_signage,yes,3.2.6,1,6,PcaReportDataItem
40187120,526963,7a2_ada_improvement,no,7,2,99,PcaReportDataItem
40182892,526963,area_served_by_water_heating_system_51,tenant space restrooms and break areas,5.1,20,20,PcaReportDataItem
39117404,526963,9c_date,"January 20, 2010",9.1,2,56,PcaReportDataItem
39117396,526963,9b_panel_number,06111C0916E,9.1,1,56,PcaReportDataItem
38476583,526963,1ec_summary_nra_source,(per the rent roll dated April 2023),1,33,63,PcaReportDataItem
38476631,526963,1p_approx_parcel_summary,100%,1.0,888,63,PcaReportDataItem
38476580,526963,1eb_summary_ga_source,(per the Ventura County tax assessor),1,32,63,PcaReportDataItem
38756800,526963,321aa,no,3.2.1,1,1,PcaReportDataItem
38756805,526963,1a_planned_capital_desc2,"Waterproofing  - $15,000, 2023.",1,99,63,PcaReportDataItem
40181344,526963,information_source_42,"[""Property management"", ""Site escort"", ""Experience"", ""Observation""]",4.2,1,13,PcaReportDataItem
40169475,526963,pca_reserve_yn_50a,yes,1.0,4,63,PcaReportDataItem
40184384,526963,52a_1b_pca,no,5.2,1,21,PcaReportDataItem
40181067,526963,pca_reserve_yn_13a,no,1.0,11,63,PcaReportDataItem
40169621,526963,323a_walkways,"[""Cast-in-place concrete""]",3.2.3,3,3,PcaReportDataItem
40130751,526963,01t_reviewer_title,Project Manager,1,18,63,PcaReportDataItem
40187145,526963,7c7_comp_handrail,none,7,13,99,PcaReportDataItem
40169826,526963,234b_landsc_type,"[""Grass-covered lawns"", ""Trees"", ""Shrubs""]",3.2.4,2,4,PcaReportDataItem
40187074,526963,pca_reserve_yn_34a,no,1.0,32,63,PcaReportDataItem
40138926,526963,24c_document_review2,City of Oxnard Zoning Map,2.4,2,62,PcaReportDataItem
40185370,526963,53aa_eleccond,Good,5.3,38,22,PcaReportDataItem
40180754,526963,329g_other,none,3.2.9,55,9,PcaReportDataItem
40185355,526963,amperage_supplied_to_main_switchgearpanel_53sb,277/480,5.3,4,22,PcaReportDataItem
40135232,526963,22p_site_escort_available,yes,2.2,1,60,PcaReportDataItem
40185372,526963,53m_stablok,no,5.3,23,22,PcaReportDataItem
40169620,526963,are_the_walkways_maintained_by_the_property_323,yes,3.2.3,2,3,PcaReportDataItem
40167535,526963,322l_pkg_desc,"Concrete pavement was present at right-of-way approaches (stamped and color coated), in front of dumpster enclosures and at loading dock area, along the west elevation.",3.2.2,18,2,PcaReportDataItem
40185358,526963,53_single_panel_manufacturer,Challenger and  Cutler Hammer General Electric,5.3,9,22,PcaReportDataItem
40135262,526963,21f_phone,714-724-8926,2.2,6,60,PcaReportDataItem
40183000,526963,51_domestic_water_booster,no,5.1,51,20,PcaReportDataItem
40182398,526963,431a_primfac,"[""Concrete tilt-up panels""]",4.3.1,1,14,PcaReportDataItem
40180830,526963,3211i,Good,3.2.11,12,11,PcaReportDataItem
40166709,526963,322a1_access,"Vehicular access was provided at multiple entrances points from Titan Place at the north elevation, Stellar Drive at the west elevation and Pacific Avenue at the east elevation .  The subject's primary entrance point was located toward the southwest entrance at the Stellar Drive..",3.2.2,2,2,PcaReportDataItem
40187087,526963,pca_reserve_yn_35a,no,1.0,33,63,PcaReportDataItem
40182880,526963,51ab_conddesc,no,5.1,16,20,PcaReportDataItem
40180718,526963,329b_benches_tables,yes,3.2.9,2,9,PcaReportDataItem
40180763,526963,3211a,Southern California Edison,3.2.11,1,11,PcaReportDataItem
40185356,526963,53e_epanelloc,along the inside face of the exterior wall and in the electrical room,5.3,9,22,PcaReportDataItem
40179841,526963,328a_extlt,yes,3.2.8,1,8,PcaReportDataItem
40187173,526963,92a_seismic_zone,Zone 4,9.2,4,57,PcaReportDataItem
40167514,526963,parking_type_single_322,Surface lots,3.2.2,11,2,PcaReportDataItem
40186547,526963,551d_pump,no,5.5.1,6,32,PcaReportDataItem
40185353,526963,53_service_type,Individual building service,5.3,2,22,PcaReportDataItem
40186892,526963,pca_reserve_yn_46a,no,1.0,44,63,PcaReportDataItem
40186901,526963,551j_fireext,The annual inspection of the fire extinguishers last occurred in October 2022,5.5.1,35,32,PcaReportDataItem
40186890,526963,551aa_suppcond,Good,5.5.1,14,32,PcaReportDataItem
40184407,526963,52q_acc_area_heat_type,"[""Other"", ""same as main""]",5.2,176,21,PcaReportDataItem
40130737,526963,01r_client_stamp_required,no,1.0,10,63,PcaReportDataItem
40181029,526963,41_1a_pca,no,4.1,1,12,PcaReportDataItem
38476696,526963,11a_limitations,,11.0,99,99,PcaReportDataItem
38476584,526963,1z_summary_residential_units,,1,34,63,PcaReportDataItem
38476516,526963,52e_beh_ctt,,5.2,4,21,PcaReportDataItem
38476691,526963,1_2k_scope_of_work,,1.0,99,63,PcaReportDataItem
38476538,526963,number_of_similar_elevators_3_541,,5.4.1.3,20,23,PcaReportDataItem
38476553,526963,553y_cost_table_type,,5.5.3,6,32,PcaReportDataItem
38476548,526963,551_ext_cost_action_item,,5.5.1,39,32,PcaReportDataItem
38476645,526963,01j_client_first_name,Jason,1,9,63,PcaReportDataItem
38476633,526963,65m_cost_action_item,,6.5.2,24,99,PcaReportDataItem
38476489,526963,41p_cost_table_type,,4.1,22,12,PcaReportDataItem
38476582,526963,1z_summary_tenant_spaces,1,1,33,63,PcaReportDataItem
38476576,526963,1e_summary_year_built,1999,1,30,63,PcaReportDataItem
38476515,526963,52e_pac_ctt,,5.2,4,21,PcaReportDataItem
38476653,526963,01v_rm_last_name,Churchill,1,20,63,PcaReportDataItem
38476643,526963,01g_report_date,"May 2, 2023",1,7,63,PcaReportDataItem
38476669,526963,1h_cost_exclusion,,1.0,8,63,PcaReportDataItem
38476676,526963,1_3m_desc_qualifier,,1.0,1,63,PcaReportDataItem
38476581,526963,2e_summary_gross_building_comment,,1,32,63,PcaReportDataItem
38476639,526963,01c_project_city,Oxnard,1,4,63,PcaReportDataItem
38476656,526963,7b_property_type,,7,1,99,PcaReportDataItem
38476517,526963,52e_uh_ctt,,5.2,4,21,PcaReportDataItem
38476549,526963,551_hydrant_cost_action_item,,5.5.1,45,32,PcaReportDataItem
38476704,526963,23a_building_code_name,Online Records Request,2.3,1,61,PcaReportDataItem
38476655,526963,01y_rm_phone,310-765-7271,1,23,63,PcaReportDataItem
38476621,526963,doc_1b_summary_heat_2,,1,999,63,PcaReportDataItem
38476682,526963,10a_out_of_scope,,10.0,99,99,PcaReportDataItem
38476471,526963,325p_cost_table_type,,3.2.5,7,5,PcaReportDataItem
38476483,526963,3211m_cost_action_item,,3.2.11,15,11,PcaReportDataItem
38476694,526963,8_2_pest_mgmt,,8,99,99,PcaReportDataItem
38476497,526963,433z_cost_action_item,,4.3.3,36,15,PcaReportDataItem
38476688,526963,1f_priority_repair_lang,,1,99,63,PcaReportDataItem
38476629,526963,1t_summary_wiring,Copper,1.0,57,63,PcaReportDataItem
38476605,526963,1y_summary_parking_area,Asphalt paved surface lots,1,51,63,PcaReportDataItem
38476625,526963,doc_1f_summary_cool_2,,1,999,63,PcaReportDataItem
38476672,526963,1b_deviation_text,,1.0,2,63,PcaReportDataItem
38476674,526963,1_1k_purpose,,1.0,11,63,PcaReportDataItem
38476607,526963,1y_summary_ada_parking,Four,1,53,63,PcaReportDataItem
38476600,526963,2k_summary_acres_comment,(per the Ventura County tax assessor),1,46,63,PcaReportDataItem
38476610,526963,1s_summary_domrep_pipe,Copper,1,56,63,PcaReportDataItem
38476577,526963,1f_summary_gross_building,26913,1,31,63,PcaReportDataItem
38476692,526963,70p_future_renovation,,7.0,99,45,PcaReportDataItem
40259955,526963,441a_primroof,"[""Built-up roofing with mineral-surfaced cap sheet""]",4.4.1,11,17,PcaReportDataItem
40261926,526963,441d_proofcond,Poor,4.4.1,15,17,PcaReportDataItem
40230803,526963,45b_extstr,"[""Not provided""]",4.5,3,19,PcaReportDataItem
40226772,526963,431f_sealcond,Fair to Poor,4.3.1,9,14,PcaReportDataItem
40263386,526963,443_is_there_roof_mounted_equipment,yes,4.4.3,39,17,PcaReportDataItem
40230801,526963,452_1g_pca,no,4.5,1,19,PcaReportDataItem
40217232,526963,64ab_conddesc,The internal water intrusion areas have areas of damage carpet and possible gypsum board. Repair and replacement of all water damaged interior elements is recommended (one issues have been resolved). An opinion of cost for this work is included in Table 1.,6.4,6,39,PcaReportDataItem
40231576,526963,pca_reserve_yn_21a,no,1.0,19,63,PcaReportDataItem
40226668,526963,431dd_facade_ordinance,Not applicable - no façade ordinance,4.3.1,10,14,PcaReportDataItem
40226783,526963,432_1d_pca,no,4.3,2,99,PcaReportDataItem
40228254,526963,433ap_oh_door,"[""Steel panel coiling""]",4.3.3,28,15,PcaReportDataItem
40261888,526963,441p_prim_warranty,A roof warranty was not provided for review.,4.4.1,13,17,PcaReportDataItem
40261883,526963,441_if_so_how_was_it_provided,"[""Roof hatch""]",4.4.1,9,17,PcaReportDataItem
40262963,526963,442c_rdraincond,Fair to Poor,4.4.2,32,17,PcaReportDataItem
40259131,526963,441b_parapet,"[""Stone coping""]",4.4.1,1,17,PcaReportDataItem
40227152,526963,432b_windfrm,"[""Aluminum""]",4.3.2,14,14,PcaReportDataItem
